
[00:00:00.000 --> 00:00:04.000]   [laughter]
[00:34:42.000 --> 00:35:07.000]   So when it comes to a phase where like, let's say, no, your customer you do your KYC, right. Like, like, you know, all these things I don't know what what terms are used over there. But I believe it's a KYC like no your customer when when you put up a bank statement you need you need to provide your, you know, your from your passport or you know multiple other documents in order for you to get some things done right
[00:35:07.000 --> 00:35:15.000]   I approve you as you're a citizen of this particular country, you are having this amount of salary and so and so a government documents.
[00:35:15.000 --> 00:35:25.000]   Get it. So those kind of things. So ultimately, those are all documents right you've you put it out you send those documents when you want to loan, or when you want to get something done.
[00:35:25.000 --> 00:35:44.000]   Right. So, at that point of time, similarly, the system should not just ask for documents. It should identify exactly what is missing personalized requests by applicant type detect mismatches and names, dates, account numbers, explain why a document is needed.
[00:35:44.000 --> 00:36:00.000]   See, we might not need to do so much. Okay, not see, I'm not asking you to do everything that is there. Yeah, but it's just that my concept is see behind the scenes. See, it's here. See document KYC.
[00:36:00.000 --> 00:36:13.000]   We know for we need these these these these documents. Okay, so the agent should on its own say that can you provide me these documents please.
[00:36:13.000 --> 00:36:22.000]   For a home loan, what documents are required. Right. And for a for a car loan, what all documents are required.
[00:36:22.000 --> 00:36:36.000]   Right. Maybe saying it might be same. Okay, but still, if if there is a possibility that you know based on different product types that is different loans, the required documents might be a bit different.
[00:36:36.000 --> 00:36:52.000]   I'm just assuming if they if such thing is there, then the agent should actually analyze which particular loan they want. And when they come to that particular stage of getting the required documents, it should be able to ask, it should be able to state saying,
[00:36:52.000 --> 00:37:09.000]   Okay, as you're within this particular country. See, in India, we call it other car. Okay, that is a national apart from passport. It's like I'm the citizen of India. So obviously I would be having this particular time this is that significance.
[00:37:09.000 --> 00:37:23.000]   So similarly in different countries, let's say in Caribbean countries, you have multiple, you have multiple Caribbean region, you have multiple countries, I believe, or I don't know that exactly.
[00:37:23.000 --> 00:37:37.000]   But the thing is, based on a region. Okay, what I want you to do is train the model with some with the data that based on how one acquires loans based on that particular region.
[00:37:37.000 --> 00:37:55.000]   Okay, currently we can just go with Caribbean. Okay, that could be so in Antigua or Guyana, what are the main documents that, you know, the banks would ask in order to go in order to take home loan in order to take, you know, a car loan or something.
[00:37:55.000 --> 00:38:06.000]   Okay, see again, I want to ask you something about this two questions. Yeah, do you have idea if this kind of require that.
[00:38:06.000 --> 00:38:30.000]   The documents are kind of standard accordingly to the situation. I mean, if you are from Antigua or from whatever you want. So is there do you don't do you think is a kind of list of requirements per situation, or it can change.
[00:38:30.000 --> 00:38:45.000]   See, currently, in my country, because I am not speaking in terms of that. But in my country, if I have to take a loan, there are always set of list of these kind of documents, which are always always required.
[00:38:45.000 --> 00:38:56.000]   Okay, literally, if you're if I'm a salaried person, if I'm a salaried person, now I'm an employee, employee person, that these kind of documents which are required.
[00:38:56.000 --> 00:39:14.000]   If I'm not a salaried person, I'm a businessman, then what all documents might might be required. Okay, so I want you to just, just on a higher level, on a generic level, in, in Caribbean, or some some region, it's fine in Caribbean, just just ask the element to do it.
[00:39:14.000 --> 00:39:33.000]   You might just give the prompt, or you don't get that synthetic data, or somewhere like let's say in charge of it itself, we ask it we say, what are the standard requests, let's say I go into charge of it, I say, well, what are the standard required docs.
[00:39:33.000 --> 00:39:44.000]   As in, we're used to get a loan in Diana.
[00:39:44.000 --> 00:39:51.000]   Okay, so I say this, and it's the answer points.
[00:39:51.000 --> 00:39:53.000]   Okay, between in between.
[00:39:53.000 --> 00:40:09.000]   My question is your idea is how these documents shall be provide. I mean, they have to provide kind of a scan text, or images, or that's, that's a different.
[00:40:09.000 --> 00:40:25.000]   We'll come to that. We'll come to that. Okay. Let's, yeah, probably it all see it's an enhancement, we can always take it as an enhancement, but ultimately it's just that there are PDFs that images like the back end should be able to comprehend PDFs and images.
[00:40:25.000 --> 00:40:37.000]   That is basic stuff. Okay, the point, the point is, yes, the main point is those in some way they have to be provided in some way. Yeah, yeah, okay. Yeah, I'll tell you that and tell you.
[00:40:37.000 --> 00:40:53.000]   There's no single national checklist used by every lender, but banks generally ask for a very similar code that is valid ID proof of address proof of income and tin certificate. See, this is a very important thing in certificate and quotation in why something on these.
[00:40:53.000 --> 00:41:05.000]   So let's say if, if a home loan usually see the home loans, mortgages, lenders usually add property specific documents such as the agreement or say later offensive, are you with me? Yeah.
[00:41:05.000 --> 00:41:17.000]   See, apart from financial statements, if I want to take a home loan for what kind of home, like, you know, what is that area? Is that a lease? Is it a, do we have any electrifying evaluation report, something like that.
[00:41:17.000 --> 00:41:27.000]   So we asked GPT, we asked GPT to give us some kind of information which is related again or related to some Caribbean countries.
[00:41:27.000 --> 00:41:29.000]   I got the point. Yeah.
[00:41:29.000 --> 00:41:41.000]   Right. And fill that information and use that as a synthetic data to your back end system and just so that it is very rich when we do our demonstration, it is very rich from our end.
[00:41:41.000 --> 00:41:51.000]   That is yes. And so when they're asking me when I wanted auto loan, they're asking me where I'm from. Okay, I see that you know I'm from Diana or something. Okay.
[00:41:51.000 --> 00:42:00.000]   If automatic, you know, detection is not there. Let's say GPS detection is not there. Let's assume. So it's asking me, okay, where are you from? I'm seeing Diane. Okay.
[00:42:00.000 --> 00:42:08.000]   Then how much money do you want? I'm saying this much. Okay, so then I tend to understand, okay, can you provide me some documents?
[00:42:08.000 --> 00:42:22.000]   Right. These are the documents which, see, in order for me to process your process, how do I say it? In order for me to process this is I need more, I need such documents, right?
[00:42:22.000 --> 00:42:37.000]   So I say, you see, lead inquiry, I say a lead inquiry, a lot of things are done. Your model should be trained in such a manner where it automatically asks for such documents from behind the scenes.
[00:42:37.000 --> 00:42:53.000]   Okay. Again, see, the way that we orchestrated behind the scenes, that is different. Okay, today, I might just, I might just, I have not built any system behind the scenes, but see from the UI, it is like some lead.
[00:42:53.000 --> 00:43:02.000]   I, the loan officer might just get a lead. Okay. And the loan officer, so he would say that, okay, Aditya has asked to get a loan.
[00:43:02.000 --> 00:43:13.000]   But that is his lead inquiry, please. So when I say a lead inquiry, I'll convert that, okay, I see that, okay, what all he has asked, he has said that, you know, he wants a loan for so and so, so and so.
[00:43:13.000 --> 00:43:23.000]   Okay, fine. So once that is done, once with his information, what all information he gives me, I'll see if he's okay, and I'll convert him into an application.
[00:43:23.000 --> 00:43:30.000]   So once that application is done, completed loan application form, passport size, photos, all these things are required during application.
[00:43:30.000 --> 00:43:37.000]   Then after that, you know, your multiple other situations, multiple other documents if they are needed. Okay, something like that.
[00:43:37.000 --> 00:43:58.000]   So ultimately, what I want is a model should, okay, should prioritize, should based on the loan type, based on the person, based on the information it has gathered, it should be able to ask the right appropriate, appropriate documents in order to move forward.
[00:43:58.000 --> 00:44:06.000]   Okay. In order to determine do KYC and all these things. You with me? Yes. Yeah.
[00:44:06.000 --> 00:44:25.000]   You see, if you have any questions, you do ask me, but ultimately, the thing is, we need to train the model, we need to come up with a thought process, like how we're going to do this so that on the actual day that is Friday, that is Tuesday, when we say to the say to give a demonstration, like we give a conceptual demonstration to the leadership,
[00:44:25.000 --> 00:44:31.000]   we say that, yes, these are the factors that we're going to do, and it can be achieved.
[00:44:31.000 --> 00:44:39.000]   Practically, it can be achieved by doing these, these, these things. Yes, it's clear. Yes, that's clear.
[00:44:39.000 --> 00:44:52.000]   Yeah, right. Okay, got it. Fantastic. Then, then after that, explainable underwriting code, but this needs to be completely, like, you know, we need to, we need to kill this feature.
[00:44:52.000 --> 00:45:08.000]   When I say kill, we need to slay it to such an extent, and it's like literally underwriting rules should be come, it should be highly extensively written, so that it helps the loan officer, in order to finish things off, finish this and summarize all the conversations.
[00:45:08.000 --> 00:45:27.000]   Underwriting itself, if you want, you can just research a very small, I'm not asking you to do more, you can ask charity itself, but ultimately the thing is, what underwriting means is it consolidates all the information and it tells to the loan officer whether now is this person ready to get approved or not like that.
[00:45:27.000 --> 00:45:48.000]   So, so, see, what about summary strengths that risk assessment policy, if any policy deviations, that means the savings core, or some kind of something that compensating fact is, that means if he has some in compensating factors to get a loan, recommended condition before all these things that's a current application is borderline for unsecured approval to repayment.
[00:45:48.000 --> 00:46:09.000]   Compensating factors are stable, he's a stable employer, though he is unsecured, he's still a stable employer, he has long term, no recent delinquency, no jail, he has strong salary consistency, so recommended lower ticket size or secured variant instead of direct rejection.
[00:46:09.000 --> 00:46:30.000]   You get it? So this is how the underwriting should look like, right? So it makes, it gives, again, see, ultimately the gist of it is, we train the model on all these things, so that it behaves not like a bot, but as an advisor.
[00:46:30.000 --> 00:46:46.000]   Okay, it proactively advises the customer, okay, or the loan officer in order to, in order to try level best to make sure that the person gets a loan.
[00:46:46.000 --> 00:47:02.000]   Okay, so and those are all deterministic, they know where we are doing, we're doing anything, you know, we're not doing any kinds of, how do I say, we're not doing any kind of, you know, modifications.
[00:47:02.000 --> 00:47:17.000]   Okay, neither we're not touching the government, we're just trying to make sure, if there is a possibility that yes, see, if he has not missed any kinds of, you know, if the risk is less, the risk is less, we can always try to do something.
[00:47:17.000 --> 00:47:32.000]   Now, always it will try to suggest something so that, you know, may not be a straight path, maybe a split loan, or maybe a lesser tenure, or something like that, something like that, so what would be a better way.
[00:47:32.000 --> 00:47:48.000]   So, ultimately, the gist is that the multiple that currently we have come to here and the other one is pipeline rescue and the next best action so this like, see these files can close this week with one action, these three are likely to abandon because,
[00:47:48.000 --> 00:48:00.000]   because the border is stuck at document understanding, this one should be switched into a lower EMI structure, this applicant is better suited for secured product than current.
[00:48:00.000 --> 00:48:13.000]   Okay, these are all things that it actually monitors the pipeline that we have when I say pipeline, okay, so the pipeline would actually be like this.
[00:48:13.000 --> 00:48:36.000]   Just a few things, few things which I did not take very much. Let's say if I go. Okay, it's here. And if I say officer dashboard, so the officer dashboard just a minute pipeline.
[00:48:36.000 --> 00:48:52.000]   So, there's this particular fork is stuck here. Why is he stuck here. Is there anything that needs to be done. So, so some suggestions that this particular agent gives out again solutions everywhere it is proactive.
[00:48:52.000 --> 00:49:03.000]   It says that you know these these these particular files are there. These can be closed, or you know, which, which leads can be dropped.
[00:49:03.000 --> 00:49:21.000]   Okay, which borrowers are confused. Okay, who should, who should be called today's or something like that. Maybe it's like what what the agent will directly see when a loan officer logs in, right, he just asks a, how should I start my day today.
[00:49:21.000 --> 00:49:32.000]   And I say, see, officer, I, after analyzing your current pipeline, that means see the officer would be able to see this pipeline right. Sorry.
[00:49:32.000 --> 00:49:36.000]   I'm just getting back here.
[00:49:36.000 --> 00:49:50.000]   Yeah, then when it sees this pipeline, it will try to understand the pipeline. And it would say see there are a few folks over here that few folks over here. And I believe that you know, these these guys they they're already rejected you can just,
[00:49:50.000 --> 00:50:00.000]   you can directly approve, reject them like you know, like we can we can just something make you know what are the next actions that you need to do from your and if you put all you need to do it.
[00:50:00.000 --> 00:50:09.000]   And if there are any kind of customers, which is still pending from there and they can have the pipeline in the pipeline when it looks like yes, the customers are pending.
[00:50:09.000 --> 00:50:14.000]   Is there a way that you can actually reach out to them and proactively help them out.
[00:50:14.000 --> 00:50:26.000]   Like, see, which borrowers are confused versus rate sensitive versus ineligible. So who should we call today, which case, like, you know, proactively it is telling us who should be called much better, right.
[00:50:26.000 --> 00:50:37.000]   So it's a very proactive use cases is it is telling the user the officer that please go Paul him in order to finish this process because not every time you'll be able to track it.
[00:50:37.000 --> 00:50:50.000]   That's the thing. Yeah. So which case can be can be saved by restructuring, rather than just some because he not always ever see there might be multiple leads that you might be getting Alberto right.
[00:50:50.000 --> 00:51:05.000]   So if I say, you might get multiple leads like these qualified leads, the hell number of leads. So if you consolidate the information, and it will put out to the user saying that hey, so out of all these leads, we should try to try to finish these these these
[00:51:05.000 --> 00:51:14.000]   leads. And you know just make sure because there is a high possibility that he can get alone like that. Yes, I am.
[00:51:14.000 --> 00:51:23.000]   Yeah, that's that's how it is. So I'll so in order for all these things to happen, right behind the scenes we need rules.
[00:51:23.000 --> 00:51:34.000]   We need agents, we need tools, which hits the API is in order to fetch the APIs of what you've built, then.
[00:51:34.000 --> 00:51:49.000]   So our database API is because all this information currently, it is it is stored in database right. So your backend system should be able to hit the database API is in order to get the information and then provided to your mcp server.
[00:51:49.000 --> 00:51:58.000]   All these things. Any any confusions or you're finding like it till now, see please please don't say please don't worry.
[00:51:58.000 --> 00:52:07.000]   Tell me that if there are any things that are confusing, if there are any things that are like, you know, really, it's like, no, this is this is too much or something.
[00:52:07.000 --> 00:52:13.000]   No, it's fine. So what I want is you don't mind.
[00:52:13.000 --> 00:52:30.000]   Yeah, could you please if it is possible to share with me this document. So, yeah, and the second one. Do you think it's possible to to share this interface that you that you are showing me.
[00:52:30.000 --> 00:52:34.000]   Is it possible. Yeah. Okay. Yes, yes. Yeah, I can. I can.
[00:52:34.000 --> 00:52:39.000]   Thank you. I can. I need I need even Gabby. So is Gabby there.
[00:52:39.000 --> 00:52:44.000]   I don't know. Do you want me to ask her.
[00:52:44.000 --> 00:52:50.000]   Yeah, I mean, because I haven't met her I because I need to jump and start doing another work.
[00:52:50.000 --> 00:52:59.000]   That is the reason I am like, if Gabby is there, I can actually show her this interface and you know ask her maybe I can share it to her as well.
[00:52:59.000 --> 00:53:07.000]   Exactly. And yeah, Gabrielle can design. But yeah, she is available.
[00:53:07.000 --> 00:53:10.000]   This is a comment that I have.
[00:53:10.000 --> 00:53:21.000]   Now I have a more clear view about this system and I really appreciate your explanation.
[00:53:21.000 --> 00:53:38.000]   Now, you know what, I feel like they have to be more, more specific about the technical requirements because it's not just only about memory or working memory or connection to internet.
[00:53:38.000 --> 00:53:41.000]   It's about technology.
[00:53:41.000 --> 00:53:47.000]   So we need a profile of technology in order to achieve this kind of thing.
[00:53:47.000 --> 00:53:57.000]   So my comment is I did the please with this new understanding.
[00:53:57.000 --> 00:54:12.000]   Give me the chance because I need to prove something mostly about the connection of internet, the capacities of communication and mostly on the capacities for all those training and technical steps.
[00:54:12.000 --> 00:54:17.000]   So I have to review something. I will go back with you after this meeting.
[00:54:17.000 --> 00:54:33.000]   I will go back with you with a kind of little more detail description and profile about the technology that we need for this system at least because you know what, I really want to split this in three different levels.
[00:54:33.000 --> 00:54:43.000]   The basic, the medium and the high one, thinking that perhaps we are going to have this kind of three possible profiles.
[00:54:43.000 --> 00:54:51.000]   They are not too different in some sense. The technology, the technical technology, it will be actually the same.
[00:54:51.000 --> 00:54:57.000]   But yes, it will change on the resources on the cloud. It is going to change. That is what I want to do.
[00:54:57.000 --> 00:55:07.000]   I want to provide you a kind of little more professional profile about this.
[00:55:07.000 --> 00:55:09.000]   Yeah, sure.
[00:55:09.000 --> 00:55:25.000]   Definitely. I understand. Please do your analysis at your end and at the end of it, let's sync back again similarly on tomorrow and try to understand what you have done, what you have thought about.
[00:55:25.000 --> 00:55:34.000]   But ultimately, please don't worry about how we, let's only think about how we can actually materialize this.
[00:55:34.000 --> 00:55:46.000]   Okay, that's it. That is the only ask for me for this particular, for this weekend or even for this week, if I'm not saying today, that's Thursday, Friday.
[00:55:46.000 --> 00:55:56.000]   The only thought that you and me should actually think of is how can we materialize this? How can we make those five features, right?
[00:55:56.000 --> 00:56:10.000]   We expect, you know, see, accuracy is important. But I'm saying as it is a solution and not a product, right, we give it to the users and we enable them to keep on increasing the accuracy.
[00:56:10.000 --> 00:56:19.000]   But at least we need, for first thing first, as you've already told me, the model is hitting 89. Wonderful. Let it hit some 90. That is also wonderful.
[00:56:19.000 --> 00:56:42.000]   But ultimately, it's an experience. Accuracy would always be there. If even if the model training accuracy reaches 89 percentage, as long as we have very stringent system prompts, we'll be able to achieve the other amount of accuracy by decreasing the hallucination and making sure that we are not getting any fluff information, any noise.
[00:56:42.000 --> 00:56:59.000]   We do that. Right. So ultimately, this is, this is how we should move forward and see agent, multiple agents, tools, rules. So this is the language and this is the thought process in order to materialize it.
[00:56:59.000 --> 00:57:11.000]   Right. So we're going to go with this approach. This is how we're going to achieve these things. And so if this is the thing, let's have a discussion and I need to prepare a presentation on top of it.
[00:57:11.000 --> 00:57:16.000]   And then we move forward. Okay. I got it. I got it.
[00:57:16.000 --> 00:57:31.000]   Aditya, last comment that you don't mind, where one more comment is, I really appreciate this conversation because, to be honest, Aditya, this is changing my mindset.
[00:57:31.000 --> 00:57:50.000]   Because I am just kind of custom kind of scientific side where all technical details should be justified and explained. You have to be worried about the accuracy timelines, those kind of things.
[00:57:50.000 --> 00:58:07.000]   But this is kind of different. You have to put everything together to give a very enjoyable experience to the user. That's cool. That's really cool. I will accept it and I will tell you a little more about this.
[00:58:07.000 --> 00:58:16.000]   But that was my comment. I will take into account all these details and I will work on those in this line, Aditya.
[00:58:16.000 --> 00:58:22.000]   Sure. Definitely.
[00:58:22.000 --> 00:58:26.000]   Okay. Anything else that you feel you want from my end?
[00:58:26.000 --> 00:58:27.000]   No.
[00:58:27.000 --> 00:58:38.000]   Do let me know. Do reach out to me. Anything. Like, you know, do ping me regardless of whatever time it is for me so that at the earliest I'll be able to see it and reply back to you.
[00:58:38.000 --> 00:58:46.000]   Yes. So that, you know, we don't get to delay ourselves and I don't want to delay from my end if there is anything that you require.
[00:58:46.000 --> 00:58:47.000]   Yes.
[00:58:47.000 --> 00:58:54.000]   I always want to be proactive so that, you know, as a team, we tend to do things at the right time.
[00:58:54.000 --> 00:58:56.000]   These are my first.
[00:58:56.000 --> 00:58:57.000]   I'll share these information.
[00:58:57.000 --> 00:59:10.000]   Yeah. My first two requests, Aditya, just to remember to be clear. Please, you said this, but just to formalize this thing, please share with me this information.
[00:59:10.000 --> 00:59:26.000]   And second one, please wait for me kind of couple of hours in order to provide you a more detailed and specific profile about the technology and technical resources that we need.
[00:59:26.000 --> 00:59:27.000]   Yes, sure.
[00:59:27.000 --> 00:59:28.000]   Definitely.
[00:59:28.000 --> 00:59:29.000]   That's it.
[00:59:29.000 --> 00:59:36.000]   That's perfect. And I'll do that. Okay.
[00:59:36.000 --> 00:59:37.000]   Okay.
[00:59:37.000 --> 00:59:41.000]   Thanks. I'll forward these information to you.
[00:59:41.000 --> 00:59:42.000]   See you.
[00:59:42.000 --> 00:59:43.000]   Thank you.
[00:59:43.000 --> 00:59:44.000]   Bye.
[00:59:44.000 --> 00:59:45.000]   Have a good day.
[00:59:45.000 --> 00:59:46.000]   Bye.
